Administration Building,001-0
Education Building,002-0
Business Building,003-0
Research Development Center,004-0
Aero Hangar,004-A
Public Safety Lab,004-C
Aero Jet Engine Test Facility,004-D
Aero Haz Mat Storage,004-E
Aero Storage,004-R
Architecture & Env Design Bldg,005-0
Performing Arts Center,006-0
Advanced Technology Labs,007-0
ATL Seismic Lab,007-A
Bioresource and Ag Eng Bldg,008-0
Bioresource and Ag Eng Shop,008-A
Ag Engineering North Storage,008-S
Ag Engineering Paint Storage,008-T
Ag Engineering South Storage,008-U
Farm Shop Building,009-0
Farm Shop Storage,009-B
Farm Shop Haz Mat Storage,009-C
Erhart Agriculture Building,010-0
Agricultural Sciences Building,011-0
Engineering Building,013-0
Engineering Mechanical/Storage,013-A
Computer Science Building,014-0
Corporation Admin Building,015-0
Beef Unit,016-0
Beef Unit Residence Herdsman,016-A
Beef Unit Feed Unit,016-B
Crop Science Building,017-0
Crop Science Insecticide Stor,017-A
Crop Science Herb/Pest Stor,017-B
Crop Science Chem Mixing Lab,017-C
Crop Science Irrig Pipe Stor,017-D
Crop Science Storage,017-E
Crop Science Waste Water Cntmt,017-F
Crop Science West Greenhouse,017-G
Crop Science East Greenhouse,017-H
Crop Science Lab,017-J
Orchard House,017-R
West Field Equipment Storage,017-S
West Field Storage,017-T
Dairy Science Building,018-0
Dairy Innovation Institute,018-A
Dairy Science Physiology Lab,018-B
Dairy Sci Artificial Insem Lab,018-C
Dairy Science Bull Barn,018-E
Dairy Science Judging Pavilion,018-F
Dairy Science Cow Shelter,018-G
Dairy Science Hospital Barn,018-H
Dairy Science Hay Barn,018-I
Dairy Science Freestall A,018-J
Dairy Science Freestall B,018-K
Dairy Science Res Trailer,018-L
NRM Equipment Barn at Dairy,018-M
DPTC Storage,018-S
Dairy Science Telecomm Bldg,018-T
Dining Complex,019-0
Sandwich Factory,019-A
Maintenance Shop Addition,019-Y
Avenue Additional GSF,019-Z
Engineering East Building,020-0
Ctr for Engineering Excellence,020-A
Engineering East Telecom Bldg,020-B
Engineering West Building,021-0
Engineering West Building Add,021-A
Architecture Shop Storage,021-S
English Building,022-0
Food Processing Building,024-0
Food Processing Annex Building,024-A
Annex Addition,024-X
Campus Market Addition,024-Y
Original Campus Store,024-Z
Faculty Offices East Building,025-0
Graphic Arts Building,026-0
Printing Press,026-A
Graphic Arts Modular,026-M
Health Center,027-0
Health Center Addition,027-A
Alumni and Conference Center,028-0
Alumni Center Storage,028-A
University Housing Building,031-0
Equine Center Pavilion,032-A
Equine Center Breeding Barn,032-C
Equine Center Foaling Barn,032-D
Equine Center Hay Barn,032-H
Equine Center Mare Barn,032-J
Equine Center Mare Barn NW,032-K
Equine Center Mare Barn NE,032-L
Equine Center Stallion Barn,032-M
Fisher Science Hall,033-0
Dexter Building,034-0
Dexter Building Addition,034-A
Health Shack,034-B
Kennedy Library,035-0
University Police Building,036-0
Building 36 Storage,036-A
Mathematics and Science Bldg,038-0
Engineering South Building,040-0
Brown Engineering Building,041-A
Aerospace Engineering Labs,041-B
Aero Propulsion Lab,041-C
Mott Athletics Center,042-0
Anderson Aquatic Center,042-A
Mott Equipment/Grounds Storage,042-B
Mott Track Equipment Storage,042-C
